elements,randomComparisons,sortedComparisons,randomHeight,sortedHeight,randomSearchComparisons,sortedSearchComparisons,randomDeletionComparisons,sortedDeletionComparisons
393,11,392,18,392,10055,200783,13,330
394,12,393,18,393,9852,197211,10,530
395,6,394,18,394,9751,200026,12,288
396,12,395,18,395,9908,199933,10,569
397,13,396,18,396,9886,205147,13,16
398,11,397,18,397,9916,192954,10,297
399,6,398,18,398,10091,201036,15,53
400,15,399,18,399,9966,202001,13,129
401,8,400,18,400,9837,206072,14,41
402,10,401,18,401,9883,202000,12,87
403,12,402,18,402,10108,203828,12,239
404,16,403,18,403,9948,201348,9,502
405,6,404,18,404,9894,203804,9,356
406,12,405,18,405,9898,199304,13,265
407,6,406,18,406,10028,202651,13,249
408,19,407,19,407,9885,212483,7,591
409,10,408,19,408,10212,202013,8,543
410,13,409,19,409,10022,204795,12,43
411,12,410,19,410,9965,210460,12,302
412,13,411,19,411,9868,206556,11,448
413,12,412,19,412,9898,207988,11,290
414,7,413,19,413,10033,206950,14,309
415,11,414,19,414,10174,204384,10,162
416,7,415,19,415,10108,210004,14,425
417,14,416,19,416,10065,211653,10,291
418,11,417,19,417,10113,204366,12,465
419,12,418,19,418,10077,207097,6,581
420,11,419,19,419,10153,213512,16,172
421,8,420,19,420,9963,207622,15,184
422,13,421,19,421,9932,214239,9,479
423,9,422,19,422,10049,214863,19,189
424,9,423,19,423,10012,210819,13,293
425,8,424,19,424,10115,216913,11,93
426,12,425,19,425,10018,222170,12,44
427,14,426,19,426,10143,216898,10,73
428,13,427,19,427,9986,220138,11,452
429,13,428,19,428,10044,213900,8,505
430,10,429,19,429,10041,207148,14,262
431,12,430,19,430,9949,220397,13,63
432,12,431,19,431,10011,219039,9,468
433,13,432,19,432,10083,215796,18,184
434,12,433,19,433,9951,214671,13,27
435,9,434,19,434,10133,214880,12,308
436,10,435,19,435,10239,217264,11,139
437,10,436,19,436,10217,225492,11,84
438,6,437,19,437,10077,217805,15,201
439,8,438,19,438,10046,213966,4,509
440,14,439,19,439,10086,221376,16,258
441,7,440,19,440,9937,219442,15,217
442,12,441,19,441,10113,211912,12,92
443,11,442,19,442,10119,225304,10,84
444,15,443,19,443,10102,225028,11,496
445,10,444,19,444,10226,226893,18,179
446,13,445,19,445,10155,218647,13,307
447,9,446,19,446,10119,218340,7,536
448,12,447,19,447,10128,221261,15,212
449,7,448,19,448,10127,218570,12,241
450,15,449,19,449,10281,228458,11,406
451,10,450,19,450,9988,225234,8,370
452,15,451,19,451,10156,220398,13,66
453,7,452,19,452,10052,226909,10,353
454,11,453,19,453,10141,227040,11,375
455,14,454,19,454,10204,233969,14,227
456,14,455,19,455,10299,226569,13,434
457,11,456,19,456,10156,225992,10,477
458,11,457,19,457,10309,225422,14,55
459,8,458,19,458,10251,239194,8,473
460,11,459,19,459,10160,232962,11,271
461,12,460,19,460,10224,230520,14,462
462,9,461,19,461,10322,231666,12,403
463,12,462,19,462,10164,231637,13,62
464,14,463,19,463,10121,229554,10,327
465,14,464,19,464,10316,235607,13,50
466,9,465,19,465,10220,235353,8,145
467,11,466,19,466,10139,231909,13,414
468,6,467,19,467,10290,232621,10,382
469,10,468,19,468,10283,236837,19,182
470,11,469,19,469,10405,232184,11,381
471,12,470,19,470,10212,236849,12,66
472,15,471,19,471,10024,232403,11,232
473,12,472,19,472,10032,230619,15,331
474,13,473,19,473,10462,232549,15,44
475,7,474,19,474,10213,239556,8,423
476,14,475,19,475,10316,233028,6,479
477,10,476,19,476,10133,236261,8,422
478,10,477,19,477,10202,233988,7,35
479,15,478,19,478,10469,240786,10,96
480,14,479,19,479,10083,237091,12,263
481,12,480,19,480,10363,235725,11,111
482,12,481,19,481,10300,240326,12,183
483,12,482,19,482,10223,239812,13,217
484,6,483,19,483,10407,247192,13,185
485,13,484,19,484,10304,242297,12,133
486,12,485,19,485,10322,240809,13,295
487,11,486,19,486,10334,241935,8,483
488,15,487,19,487,10444,249144,10,417
489,13,488,19,488,10520,247861,15,163
490,8,489,19,489,10424,246994,12,29
491,11,490,19,490,10277,244193,12,55
492,6,491,19,491,10370,245400,7,344
493,9,492,19,492,10344,255209,14,396
494,10,493,19,493,10436,251731,12,123
495,13,494,19,494,10216,250286,9,285
496,17,495,19,495,10391,251734,10,399
497,8,496,19,496,10534,241783,12,352
498,13,497,19,497,10455,252788,11,281
499,8,498,19,498,10391,250553,13,227
500,12,499,19,499,10378,250249,12,227
501,8,500,19,500,10403,254249,,
502,15,501,19,501,10278,256356,,
503,8,502,19,502,10470,253120,,
504,9,503,19,503,10460,250485,,
505,9,504,19,504,10447,249626,,
506,9,505,19,505,10376,262793,,
507,18,506,19,506,10237,250177,,
508,14,507,19,507,10313,258334,,
509,10,508,19,508,10498,253798,,
510,11,509,19,509,10275,255093,,
511,13,510,19,510,10294,252319,,
512,8,511,19,511,10465,263753,,
513,15,512,19,512,10505,251392,,
514,10,513,19,513,10316,258398,,
515,9,514,19,514,10514,258343,,
516,12,515,19,515,10270,265778,,
517,12,516,19,516,10582,265513,,
518,15,517,19,517,10635,257157,,
519,12,518,19,518,10390,258834,,
520,12,519,19,519,10558,264335,,
521,11,520,19,520,10298,258709,,
522,12,521,19,521,10364,267744,,
523,10,522,19,522,10405,262231,,
524,8,523,19,523,10332,262986,,
525,10,524,19,524,10405,265796,,
526,11,525,19,525,10454,265379,,
527,11,526,19,526,10504,255304,,
528,15,527,19,527,10572,264533,,
529,13,528,19,528,10555,257864,,
530,11,529,19,529,10391,262725,,
531,16,530,19,530,10624,259242,,
532,13,531,19,531,10417,272024,,
533,15,532,19,532,10463,271105,,
534,12,533,19,533,10634,277309,,
535,10,534,19,534,10391,268774,,
536,11,535,19,535,10436,264018,,
537,10,536,19,536,10592,271573,,
538,12,537,19,537,10596,267176,,
539,11,538,19,538,10371,273529,,
540,16,539,19,539,10613,261800,,
541,13,540,19,540,10587,271576,,
542,9,541,19,541,10629,280486,,
543,13,542,19,542,10631,269134,,
544,11,543,19,543,10471,279913,,
545,10,544,19,544,10613,273211,,
546,8,545,19,545,10362,265988,,
547,16,546,19,546,10461,271930,,
548,13,547,19,547,10744,271992,,
549,5,548,19,548,10764,280616,,
550,9,549,19,549,10524,274674,,
551,9,550,19,550,10566,274210,,
552,16,551,19,551,10581,283055,,
553,12,552,19,552,10425,271866,,
554,13,553,19,553,10614,268991,,
555,20,554,20,554,10698,276415,,
556,11,555,20,555,10557,279172,,
557,13,556,20,556,10675,278118,,
558,11,557,20,557,10809,286056,,
559,14,558,20,558,10492,285680,,
560,16,559,20,559,10651,290062,,
561,13,560,20,560,10660,275749,,
562,11,561,20,561,10602,286386,,
563,12,562,20,562,10686,276091,,
564,10,563,20,563,10687,286358,,
565,10,564,20,564,10761,290199,,
566,8,565,20,565,10538,284576,,
567,16,566,20,566,10577,282356,,
568,10,567,20,567,10781,282044,,
569,10,568,20,568,10679,283402,,
570,10,569,20,569,10486,288958,,
571,7,570,20,570,10591,284430,,
572,11,571,20,571,10639,294046,,
573,10,572,20,572,10514,282246,,
574,11,573,20,573,10597,292333,,
575,7,574,20,574,10620,287404,,
576,10,575,20,575,10766,292129,,
577,15,576,20,576,10674,287579,,
578,12,577,20,577,10666,287130,,
579,9,578,20,578,10744,290408,,
580,20,579,20,579,10719,306709,,
581,12,580,20,580,10753,294513,,
582,8,581,20,581,10600,290236,,
583,14,582,20,582,10756,283596,,
584,13,583,20,583,10851,297825,,
585,10,584,20,584,10753,290079,,
586,13,585,20,585,10767,297919,,
587,11,586,20,586,10554,290071,,
588,9,587,20,587,10665,286914,,
589,15,588,20,588,10607,292827,,
590,14,589,20,589,10725,293003,,
591,13,590,20,590,10729,308098,,
592,15,591,20,591,10767,291831,,
593,14,592,20,592,10750,295349,,
594,13,593,20,593,10731,299275,,
595,12,594,20,594,10622,299401,,
596,13,595,20,595,10742,295626,,
597,15,596,20,596,10798,301006,,
598,10,597,20,597,10638,298283,,
599,8,598,20,598,10802,302757,,
600,10,599,20,599,10853,302589,,
601,11,600,20,600,10699,308899,,
602,11,601,20,601,10746,298720,,
603,8,602,20,602,10739,311552,,
604,14,603,20,603,10965,306777,,
605,9,604,20,604,10878,301844,,
606,13,605,20,605,10767,302324,,
607,12,606,20,606,10646,301199,,
608,11,607,20,607,10681,287641,,
609,15,608,20,608,10835,301593,,
610,14,609,20,609,10778,304434,,
611,14,610,20,610,10845,306890,,
612,12,611,20,611,10729,306325,,
613,8,612,20,612,10706,297461,,
614,10,613,20,613,10913,313024,,
615,13,614,20,614,10700,309074,,
616,9,615,20,615,10739,312695,,
617,11,616,20,616,10746,309217,,
618,15,617,20,617,10896,317298,,
619,13,618,20,618,10955,308062,,
620,11,619,20,619,10712,303868,,
621,14,620,20,620,10780,302092,,
622,12,621,20,621,10881,317778,,
623,13,622,20,622,10836,311725,,
624,16,623,20,623,10919,313590,,
625,10,624,20,624,10948,311293,,
626,8,625,20,625,10811,307352,,
627,12,626,20,626,10838,307025,,
628,11,627,20,627,10797,320115,,
629,14,628,20,628,10764,313712,,
630,12,629,20,629,10805,313458,,
631,7,630,20,630,11039,316717,,
632,14,631,20,631,10865,312752,,
633,12,632,20,632,10791,326495,,
634,7,633,20,633,10831,322122,,
635,8,634,20,634,10838,325641,,
636,11,635,20,635,10694,316255,,
637,4,636,20,636,10879,321769,,
638,11,637,20,637,10815,317076,,
639,12,638,20,638,10768,329275,,
640,7,639,20,639,10762,328922,,
641,15,640,20,640,10802,337199,,
642,8,641,20,641,10762,315724,,
643,14,642,20,642,10924,323533,,
644,9,643,20,643,11026,323735,,
645,10,644,20,644,10737,315335,,
646,13,645,20,645,11041,319568,,
647,10,646,20,646,10836,319747,,
648,18,647,20,647,10895,328157,,
649,13,648,20,648,10930,323341,,
650,11,649,20,649,10824,322241,,
651,7,650,20,650,11001,326725,,
652,9,651,20,651,11073,325124,,
653,13,652,20,652,10850,335714,,
654,9,653,20,653,10790,336395,,
655,13,654,20,654,10868,324506,,
656,12,655,20,655,10905,337241,,
657,11,656,20,656,10752,326795,,
658,15,657,20,657,10932,321478,,
659,16,658,20,658,11004,329418,,
660,14,659,20,659,10968,334053,,
661,11,660,20,660,10876,339640,,
662,11,661,20,661,10902,338732,,
663,10,662,20,662,10981,326735,,
664,9,663,20,663,11026,325922,,
665,19,664,20,664,10908,330145,,
666,7,665,20,665,11083,335146,,
667,15,666,20,666,10868,328850,,
668,12,667,20,667,10884,343649,,
669,7,668,20,668,10737,341821,,
670,11,669,20,669,11002,343630,,
671,10,670,20,670,10891,337705,,
672,11,671,20,671,10904,332759,,
673,12,672,20,672,10870,332062,,
674,11,673,20,673,10934,338258,,
675,13,674,20,674,11058,331148,,
676,11,675,20,675,10890,348329,,
677,10,676,20,676,10829,336793,,
678,16,677,20,677,11003,338083,,
679,11,678,20,678,10717,324487,,
680,13,679,20,679,10815,338404,,
681,11,680,20,680,11107,339710,,
682,10,681,20,681,10974,350412,,
683,8,682,20,682,10729,352951,,
684,12,683,20,683,10926,337447,,
685,17,684,20,684,10717,344847,,
686,12,685,20,685,10893,340978,,
687,14,686,20,686,10920,342242,,
688,9,687,20,687,10982,343527,,
689,9,688,20,688,10992,340562,,
690,8,689,20,689,11038,341983,,
691,7,690,20,690,10891,342659,,
692,11,691,20,691,10835,353033,,
693,12,692,20,692,10930,327511,,
694,13,693,20,693,11062,349319,,
